Trial,Judgment
t3_a3b2c2_(0 1 1)_0,1.0
t3_a3b2c2_(0 1 1)_0,0.853333
t3_a3b2c2_(0 1 1)_0,0.976667
t3_a3b2c2_(0 1 1)_0,0.741667
t3_a3b2c2_(0 1 1)_0,0.74
t3_a3b2c2_(0 1 1)_0,0.693889
t3_a3b2c2_(0 1 1)_0,0.828333
t3_a3b2c2_(0 1 1)_0,0.0166667
t3_a3b2c2_(0 1 1)_0,0.573333
t3_a3b2c2_(0 1 1)_1,0.443333
t3_a3b2c2_(0 1 1)_1,0.0
t3_a3b2c2_(0 1 1)_1,1.0
t3_a3b2c2_(0 1 1)_1,1.0
t3_a3b2c2_(0 1 1)_1,1.0
t3_a3b2c2_(0 1 1)_1,0.698933
t3_a3b2c2_(0 1 1)_1,0.04
t3_a3b2c2_(0 1 1)_1,0.500556
t3_a3b2c2_(0 1 1)_1,0.866667
t3_a3b2c2_(0 1 1)_1,0.987222
t3_a3b2c2_(0 1 1)_1,0.793333
t3_a3b2c2_(0 1 1)_1,0.573333
t3_a3b2c2_(0 1 1)_1,0.753333
t3_a3b2c2_(0 1 1)_1,0.328333
t3_a3b2c2_(0 1 1)_1,0.77
t3_a3b2c2_(0 1 1)_1,0.200556
t3_a3b2c2_(0 1 1)_1,0.428333
t3_a3b2c2_(0 1 1)_1,0.966667
t3_a3b2c2_(0 1 1)_1,0.376667
t3_a3b2c2_(0 1 1)_2,0.476667
t3_a3b2c2_(0 1 1)_2,0.0
t3_a3b2c2_(0 1 1)_2,1.0
t3_a3b2c2_(0 1 1)_2,1.0
t3_a3b2c2_(0 1 1)_2,1.0
t3_a3b2c2_(0 1 1)_2,0.718933
t3_a3b2c2_(0 1 1)_2,0.0
t3_a3b2c2_(0 1 1)_2,0.490556
t3_a3b2c2_(0 1 1)_2,0.87
t3_a3b2c2_(0 1 1)_2,0.973889
t3_a3b2c2_(0 1 1)_2,0.823333
t3_a3b2c2_(0 1 1)_2,0.56
t3_a3b2c2_(0 1 1)_2,0.84
t3_a3b2c2_(0 1 1)_2,0.335
t3_a3b2c2_(0 1 1)_2,0.763333
t3_a3b2c2_(0 1 1)_2,0.240556
t3_a3b2c2_(0 1 1)_2,0.408333
t3_a3b2c2_(0 1 1)_2,0.966667
t3_a3b2c2_(0 1 1)_2,0.41
