User,Trial,Judgment
8_4XE7r9i,t1_a3b1c3_(0 0 0)_1,1.11005332512
17_CA5SQS6,t1_a3b1c3_(0 0 0)_1,1.13199169628
35_G2aomnD,t1_a3b1c3_(0 0 0)_1,1.82861309677
2_0y2tJJq,t1_a3b1c3_(0 0 0)_1,0.852133214551
6_cnDY4gC,t1_a3b1c3_(0 0 0)_1,1.07388903774
26_7oCK4MP,t1_a3b1c3_(0 0 0)_1,1.24065859096
5_nnbGaWy,t1_a3b1c3_(0 0 0)_1,1.28607410061
2_RGLtdnp,t1_a3b1c3_(0 0 0)_1,0.536548695531
13_3jCv8tW,t1_a3b1c3_(0 0 0)_1,0.850866429323
11_j1vDtTp,t1_a3b1c3_(0 0 0)_1,1.45946604225
6_iJgyEXq,t1_a3b1c3_(0 0 0)_1,1.02198826196
23_Klle9hj,t1_a3b1c3_(0 0 0)_1,1.90034184387
39_YQyyB14,t1_a3b1c3_(0 0 0)_1,0.899758799194
42_aHtMefp,t1_a3b1c3_(0 0 0)_2,-0.864794763139
30_jC2dXiS,t1_a3b1c3_(0 0 0)_2,-0.773331354955
4_CHFg6NW,t1_a3b1c3_(0 0 0)_2,-0.13149817361
19_3r57o1N,t1_a3b1c3_(0 0 0)_2,-1.2212528434
31_DF4fwCz,t1_a3b1c3_(0 0 0)_2,-1.10381079762
44_svUoKpG,t1_a3b1c3_(0 0 0)_2,-1.19896680115
8_4XE7r9i,t1_a3b1c3_(0 0 0)_2,-0.985394906512
17_CA5SQS6,t1_a3b1c3_(0 0 0)_2,-1.19412401057
35_G2aomnD,t1_a3b1c3_(0 0 0)_2,-1.37308715526
2_0y2tJJq,t1_a3b1c3_(0 0 0)_2,-1.64642257477
6_cnDY4gC,t1_a3b1c3_(0 0 0)_2,-0.994514636932
26_7oCK4MP,t1_a3b1c3_(0 0 0)_2,-1.05520099928
5_nnbGaWy,t1_a3b1c3_(0 0 0)_2,-0.59193458938
2_RGLtdnp,t1_a3b1c3_(0 0 0)_2,-0.92293263744
13_3jCv8tW,t1_a3b1c3_(0 0 0)_2,-1.53272524643
11_j1vDtTp,t1_a3b1c3_(0 0 0)_2,-1.10314151203
6_iJgyEXq,t1_a3b1c3_(0 0 0)_2,-0.961044405617
23_Klle9hj,t1_a3b1c3_(0 0 0)_2,-0.982623727467
39_YQyyB14,t1_a3b1c3_(0 0 0)_2,-0.439410548946
42_aHtMefp,t2_a3b1c2_(0 0 0)_0,-0.872784669193
25_BuDQpFc,t2_a3b1c2_(0 0 0)_0,-0.115003201326
13_nM7Ulbd,t2_a3b1c2_(0 0 0)_0,1.18728224767
11_rcfc5Hn,t2_a3b1c2_(0 0 0)_0,-1.09989064171
30_jC2dXiS,t2_a3b1c2_(0 0 0)_0,-0.773331354955
18_RFlYD5c,t2_a3b1c2_(0 0 0)_0,-0.707005005284
4_CHFg6NW,t2_a3b1c2_(0 0 0)_0,-0.183765251262
44_svUoKpG,t2_a3b1c2_(0 0 0)_0,-0.927258437635
8_e2wx1lB,t2_a3b1c2_(0 0 0)_0,-0.94643324706
15_nhfuddl,t2_a3b1c2_(0 0 0)_0,0.843681076833
22_o6112Xi,t2_a3b1c2_(0 0 0)_0,-1.11339338426
2_0y2tJJq,t2_a3b1c2_(0 0 0)_0,-1.42915694413
10_9qveRxa,t2_a3b1c2_(0 0 0)_0,-0.669036591546
37_gISEyok,t2_a3b1c2_(0 0 0)_0,-1.22028466954
21_njtKrH3,t2_a3b1c2_(0 0 0)_0,0.280350265762
4_vG0Y4D5,t2_a3b1c2_(0 0 0)_0,-1.45394600145
9_uLZMD9i,t2_a3b1c2_(0 0 0)_0,-0.998803270461
36_ACZFJPy,t2_a3b1c2_(0 0 0)_0,-1.11401940044
42_aHtMefp,t2_a3b1c2_(0 0 0)_1,-0.864794763139
25_BuDQpFc,t2_a3b1c2_(0 0 0)_1,-1.30639331933
13_nM7Ulbd,t2_a3b1c2_(0 0 0)_1,1.18728224767
11_rcfc5Hn,t2_a3b1c2_(0 0 0)_1,-0.909524378438
30_jC2dXiS,t2_a3b1c2_(0 0 0)_1,-0.773331354955
18_RFlYD5c,t2_a3b1c2_(0 0 0)_1,-0.707005005284
4_CHFg6NW,t2_a3b1c2_(0 0 0)_1,-1.44688542341
44_svUoKpG,t2_a3b1c2_(0 0 0)_1,-0.927258437635
8_e2wx1lB,t2_a3b1c2_(0 0 0)_1,-0.94643324706
15_nhfuddl,t2_a3b1c2_(0 0 0)_1,0.830818878296
22_o6112Xi,t2_a3b1c2_(0 0 0)_1,-1.03215050546
2_0y2tJJq,t2_a3b1c2_(0 0 0)_1,-1.41928221673
10_9qveRxa,t2_a3b1c2_(0 0 0)_1,-0.982552324632
37_gISEyok,t2_a3b1c2_(0 0 0)_1,-1.22028466954
21_njtKrH3,t2_a3b1c2_(0 0 0)_1,-1.24578823332
4_vG0Y4D5,t2_a3b1c2_(0 0 0)_1,-1.8732243303
9_uLZMD9i,t2_a3b1c2_(0 0 0)_1,-1.1129882404
36_ACZFJPy,t2_a3b1c2_(0 0 0)_1,-1.05616027072
42_aHtMefp,t2_a3b1c2_(0 0 0)_2,1.47620001176
25_BuDQpFc,t2_a3b1c2_(0 0 0)_2,0.950468604524
13_nM7Ulbd,t2_a3b1c2_(0 0 0)_2,1.18728224767
11_rcfc5Hn,t2_a3b1c2_(0 0 0)_2,0.772037934911
30_jC2dXiS,t2_a3b1c2_(0 0 0)_2,1.33941258963
18_RFlYD5c,t2_a3b1c2_(0 0 0)_2,1.563027436
4_CHFg6NW,t2_a3b1c2_(0 0 0)_2,1.16646845921
44_svUoKpG,t2_a3b1c2_(0 0 0)_2,1.29325397432
8_e2wx1lB,t2_a3b1c2_(0 0 0)_2,1.4642928833
15_nhfuddl,t2_a3b1c2_(0 0 0)_2,0.830818878296
22_o6112Xi,t2_a3b1c2_(0 0 0)_2,1.42495266282
2_0y2tJJq,t2_a3b1c2_(0 0 0)_2,0.802753652117
10_9qveRxa,t2_a3b1c2_(0 0 0)_2,0.860927559833
37_gISEyok,t2_a3b1c2_(0 0 0)_2,1.03144892872
21_njtKrH3,t2_a3b1c2_(0 0 0)_2,1.17202397555
4_vG0Y4D5,t2_a3b1c2_(0 0 0)_2,0.912653370755
9_uLZMD9i,t2_a3b1c2_(0 0 0)_2,1.14435739576
36_ACZFJPy,t2_a3b1c2_(0 0 0)_2,1.23341232838
1_6eemqZm,t3_a1b3c3_(0 0 0)_0,-1.15532719408
25_BuDQpFc,t3_a1b3c3_(0 0 0)_0,-1.30639331933
28_FVoOI4J,t3_a1b3c3_(0 0 0)_0,-1.23645312665
40_2dq7xtn,t3_a1b3c3_(0 0 0)_0,-1.41224145135
15_nhfuddl,t3_a1b3c3_(0 0 0)_0,0.830818878296
16_of6dk63,t3_a1b3c3_(0 0 0)_0,-1.26530127113
10_9qveRxa,t3_a1b3c3_(0 0 0)_0,-0.81952474538
43_WAyF9Al,t3_a1b3c3_(0 0 0)_0,-1.16380513374
6_cnDY4gC,t3_a1b3c3_(0 0 0)_0,-0.744489092977
3_SGvd0Fu,t3_a1b3c3_(0 0 0)_0,-1.32604498363
5_nnbGaWy,t3_a1b3c3_(0 0 0)_0,-0.27893425891
2_RGLtdnp,t3_a1b3c3_(0 0 0)_0,-0.61018635828
21_njtKrH3,t3_a1b3c3_(0 0 0)_0,-0.988574168551
33_LIglyxa,t3_a1b3c3_(0 0 0)_0,-1.10216168388
9_uLZMD9i,t3_a1b3c3_(0 0 0)_0,-1.08663790326
6_iJgyEXq,t3_a1b3c3_(0 0 0)_0,-1.16083674903
36_ACZFJPy,t3_a1b3c3_(0 0 0)_0,-1.08922259513
23_Klle9hj,t3_a1b3c3_(0 0 0)_0,-0.865703328943
1_6eemqZm,t3_a1b3c3_(0 0 0)_1,1.38071606397
25_BuDQpFc,t3_a1b3c3_(0 0 0)_1,1.59943623678
28_FVoOI4J,t3_a1b3c3_(0 0 0)_1,0.945726710446
40_2dq7xtn,t3_a1b3c3_(0 0 0)_1,1.57538360955
15_nhfuddl,t3_a1b3c3_(0 0 0)_1,-0.751389762602
16_of6dk63,t3_a1b3c3_(0 0 0)_1,0.652971291194
10_9qveRxa,t3_a1b3c3_(0 0 0)_1,1.28730940829
43_WAyF9Al,t3_a1b3c3_(0 0 0)_1,1.07356231264
6_cnDY4gC,t3_a1b3c3_(0 0 0)_1,0.778401824371
3_SGvd0Fu,t3_a1b3c3_(0 0 0)_1,0.583804473831
5_nnbGaWy,t3_a1b3c3_(0 0 0)_1,-0.35718350313
2_RGLtdnp,t3_a1b3c3_(0 0 0)_1,0.19774283266
21_njtKrH3,t3_a1b3c3_(0 0 0)_1,1.2920606353
33_LIglyxa,t3_a1b3c3_(0 0 0)_1,0.792232663239
9_uLZMD9i,t3_a1b3c3_(0 0 0)_1,1.00382314269
6_iJgyEXq,t3_a1b3c3_(0 0 0)_1,1.07286757915
36_ACZFJPy,t3_a1b3c3_(0 0 0)_1,1.09289627175
23_Klle9hj,t3_a1b3c3_(0 0 0)_1,1.51754744124
1_6eemqZm,t3_a1b3c3_(0 0 0)_2,0.889869434158
25_BuDQpFc,t3_a1b3c3_(0 0 0)_2,1.59943623678
28_FVoOI4J,t3_a1b3c3_(0 0 0)_2,0.945726710446
40_2dq7xtn,t3_a1b3c3_(0 0 0)_2,1.6330574308
15_nhfuddl,t3_a1b3c3_(0 0 0)_2,0.715047514328
16_of6dk63,t3_a1b3c3_(0 0 0)_2,0.848712526528
10_9qveRxa,t3_a1b3c3_(0 0 0)_2,0.748061444458
43_WAyF9Al,t3_a1b3c3_(0 0 0)_2,0.943860676716
6_cnDY4gC,t3_a1b3c3_(0 0 0)_2,0.732943564413
3_SGvd0Fu,t3_a1b3c3_(0 0 0)_2,0.603909158572
5_nnbGaWy,t3_a1b3c3_(0 0 0)_2,-1.28500933676
2_RGLtdnp,t3_a1b3c3_(0 0 0)_2,0.784142106085
21_njtKrH3,t3_a1b3c3_(0 0 0)_2,1.17202397555
33_LIglyxa,t3_a1b3c3_(0 0 0)_2,0.641138749549
9_uLZMD9i,t3_a1b3c3_(0 0 0)_2,1.02138827743
6_iJgyEXq,t3_a1b3c3_(0 0 0)_2,1.05673576649
36_ACZFJPy,t3_a1b3c3_(0 0 0)_2,1.24167710359
23_Klle9hj,t3_a1b3c3_(0 0 0)_2,1.50793851699
25_BuDQpFc,t2_a1b2c3_(0 0 0)_0,-1.30639331933
12_aCsfmdC,t2_a1b2c3_(0 0 0)_0,-0.13441543176
20_q2qQFsh,t2_a1b2c3_(0 0 0)_0,-1.25838950531
34_2XZ7WYR,t2_a1b2c3_(0 0 0)_0,0.898251565701
29_CMdNHeU,t2_a1b2c3_(0 0 0)_0,-1.09433386571
13_nM7Ulbd,t2_a1b2c3_(0 0 0)_0,1.18728224767
11_rcfc5Hn,t2_a1b2c3_(0 0 0)_0,-0.528791851897
18_RFlYD5c,t2_a1b2c3_(0 0 0)_0,-0.707005005284
38_vvGDkXs,t2_a1b2c3_(0 0 0)_0,-0.430044394812
5_mEPMmDd,t2_a1b2c3_(0 0 0)_0,-0.992579117095
44_svUoKpG,t2_a1b2c3_(0 0 0)_0,-1.23644371019
40_2dq7xtn,t2_a1b2c3_(0 0 0)_0,0.271901956435
14_XuKoiLn,t2_a1b2c3_(0 0 0)_0,-0.80885636232
8_4XE7r9i,t2_a1b2c3_(0 0 0)_0,-0.923764138319
12_8eRL48P,t2_a1b2c3_(0 0 0)_0,-0.898092248433
15_nhfuddl,t2_a1b2c3_(0 0 0)_0,0.843681076833
2_0y2tJJq,t2_a1b2c3_(0 0 0)_0,-0.214444002494
7_VidtrC2,t2_a1b2c3_(0 0 0)_0,-1.19985170435
33_LIglyxa,t2_a1b2c3_(0 0 0)_0,-1.10216168388
23_Klle9hj,t2_a1b2c3_(0 0 0)_0,-0.365989104381
25_BuDQpFc,t2_a1b2c3_(0 0 0)_1,0.194952919935
12_aCsfmdC,t2_a1b2c3_(0 0 0)_1,1.00962037227
20_q2qQFsh,t2_a1b2c3_(0 0 0)_1,0.710869806008
34_2XZ7WYR,t2_a1b2c3_(0 0 0)_1,0.965598639191
29_CMdNHeU,t2_a1b2c3_(0 0 0)_1,1.69612894714
13_nM7Ulbd,t2_a1b2c3_(0 0 0)_1,1.18728224767
11_rcfc5Hn,t2_a1b2c3_(0 0 0)_1,1.31141218695
18_RFlYD5c,t2_a1b2c3_(0 0 0)_1,1.563027436
38_vvGDkXs,t2_a1b2c3_(0 0 0)_1,1.42003862754
5_mEPMmDd,t2_a1b2c3_(0 0 0)_1,1.08891790975
44_svUoKpG,t2_a1b2c3_(0 0 0)_1,1.57433149482
