workerid,proliferate.condition,coffee_getter,left_map,map_order,p_right,praise,recipient,right_map,trial,error
164,Default,,,,"{""Q0"":""Path 1"",""Q1"":""3 times as long""}",,,,,
164,Default,,,,"{""Q0"":""medium""}",,,,,
164,Default,,,,"{""Q0"":""low""}",,,,,
164,Default,,,,"{""Q0"":""medium""}",,,,,
164,Default,male,images/gen_models/gen_models.012.png,1,5,high,male,images/gen_models/gen_models.011.png,25,
164,Default,male,images/gen_models/gen_models.028.png,1,4,medium,male,images/gen_models/gen_models.027.png,17,
164,Default,female,images/gen_models/gen_models.024.png,1,95,high,female,images/gen_models/gen_models.023.png,30,
164,Default,female,images/gen_models/gen_models.023.png,0,97,low,female,images/gen_models/gen_models.012.png,2,
164,Default,female,images/gen_models_rotated/gen_models_rotated.028.png,1,5,medium,female,images/gen_models_rotated/gen_models_rotated.039.png,24,
164,Default,female,images/gen_models/gen_models.035.png,0,1,high,male,images/gen_models/gen_models.001.png,36,
164,Default,female,images/gen_models/gen_models.006.png,1,100,low,female,images/gen_models/gen_models.005.png,7,
164,Default,female,images/gen_models/gen_models.022.png,1,99,high,male,images/gen_models/gen_models.021.png,27,
164,Default,male,images/gen_models/gen_models.045.png,0,95,low,male,images/gen_models/gen_models.002.png,3,
164,Default,female,images/gen_models_rotated/gen_models_rotated.014.png,1,2,high,male,images/gen_models_rotated/gen_models_rotated.013.png,32,
164,Default,female,images/gen_models/gen_models.014.png,1,92,medium,female,images/gen_models/gen_models.013.png,21,
164,Default,female,images/gen_models_rotated/gen_models_rotated.019.png,0,7,low,female,images/gen_models_rotated/gen_models_rotated.020.png,8,
164,Default,male,images/gen_models/gen_models.033.png,0,96,low,female,images/gen_models/gen_models.034.png,5,
164,Default,male,images/gen_models/gen_models.047.png,0,94,low,female,images/gen_models/gen_models.025.png,4,
164,Default,female,images/gen_models/gen_models.009.png,0,2,medium,female,images/gen_models/gen_models.010.png,13,
164,Default,female,images/gen_models/gen_models.031.png,0,4,high,female,images/gen_models/gen_models.032.png,34,
164,Default,female,images/gen_models/gen_models.015.png,0,100,low,male,images/gen_models/gen_models.016.png,1,
164,Default,female,images/gen_models/gen_models.011.png,0,96,high,male,images/gen_models_flipped/gen_models_flipped.013.png,35,
164,Default,female,images/gen_models/gen_models.017.png,0,99,high,male,images/gen_models/gen_models.018.png,26,
