,trees,strength_a,strength_b,strength_c,action_a,action_b,action_c,reward,blame_a,blame_b,blame_c,w,beta,k,post,trial,participant
0,2,3,1,2,0,1,1,3.0,0.09687601685539687,0.9093476303969228,0.09065236960307721,0.2,-10.993570937614985,1,0.33333301716205627,8,1
1,2,3,2,2,0,1,1,3.0,0.08450092696283766,0.9031239831446032,0.9031239831446032,0.2,-10.993570937614985,1,0.3333337126943367,8,1
2,2,3,3,2,0,1,1,3.0,0.08756469982284038,0.9124353001771597,0.1,0.2,-10.993570937614985,1,0.33333327014360703,8,1
0,2,3,3,1,1,0,1,3.0,0.36354268352206354,0.3697906498112698,0.9093476303969228,0.2,-10.993570937614985,1,0.3333370660167706,9,1
1,2,3,3,2,1,0,1,3.0,0.9124353001771597,0.08756469982284038,0.1,0.2,-10.993570937614985,1,0.3333314656144527,9,1
2,2,3,3,3,1,0,1,3.0,0.9093476303969228,0.35731903626974393,0.9093476303969228,0.2,-10.993570937614985,1,0.3333314683687767,9,1
0,2,3,1,3,1,1,0,3.0,0.36354268352206354,0.9093476303969228,0.3697906498112698,0.2,-10.993570937614985,1,0.33333146561443733,10,1
1,2,3,2,3,1,1,0,3.0,0.9124353001771597,0.1,0.08756469982284038,0.2,-10.993570937614985,1,0.33333706877112534,10,1
2,2,3,3,3,1,1,0,3.0,0.9093476303969228,0.9093476303969228,0.35731903626974393,0.2,-10.993570937614985,1,0.3333314656144374,10,1
0,2,3,3,1,0,1,1,3.0,0.3697906498112698,0.36354268352206354,0.9093476303969228,0.2,-10.993570937614985,1,0.333331466221023,11,1
1,2,3,3,2,0,1,1,3.0,0.08756469982284038,0.9124353001771597,0.1,0.2,-10.993570937614985,1,0.3333314656144411,11,1
2,2,3,3,3,0,1,1,3.0,0.35731903626974393,0.9093476303969228,0.9093476303969228,0.2,-10.993570937614985,1,0.33333706816453584,11,1
0,1,1,3,2,1,1,0,2.0,0.09375812532524874,0.918533319990814,0.09375812532524876,0.2,-10.993570937614985,1,0.5000041971361374,12,1
1,1,1,3,2,0,1,0,3.0,0.5062418746747512,0.518533319990814,0.09375812532524876,0.2,-10.993570937614985,1,0.49999580286386247,12,1
0,1,1,2,3,1,0,1,2.0,0.09375812532524874,0.09375812532524876,0.918533319990814,0.2,-10.993570937614985,1,0.49999579764449864,13,1
1,1,1,2,3,0,0,1,3.0,0.5062418746747512,0.09375812532524876,0.518533319990814,0.2,-10.993570937614985,1,0.5000042023555015,13,1
0,3,3,2,2,0,1,0,0.0,0.5154990730371624,0.5031239831446032,0.09687601685539687,0.2,-10.993570937614985,1,0.5000041299006238,14,1
1,3,3,2,2,0,0,0,0.0,0.9154990730371624,0.09687601685539687,0.09687601685539687,0.2,-10.993570937614985,1,0.4999958700993763,14,1
0,3,2,3,2,0,0,1,0.0,0.09687601685539687,0.5154990730371624,0.5031239831446032,0.2,-10.993570937614985,1,0.4999958025649303,15,1
1,3,2,3,2,0,0,0,0.0,0.09687601685539687,0.9154990730371624,0.09687601685539687,0.2,-10.993570937614985,1,0.5000041974350697,15,1
0,3,3,1,2,0,1,1,3.0,0.37601429706358946,0.36354268352206354,0.3697906498112698,0.2,-10.993570937614985,1,0.49999579764425717,16,1
1,3,3,1,2,0,0,1,0.0,0.5093476303969228,0.9031239831446032,0.5031239831446032,0.2,-10.993570937614985,1,0.5000042023557429,16,1
0,3,2,3,1,1,0,1,3.0,0.3697906498112698,0.37601429706358946,0.36354268352206354,0.2,-10.993570937614985,1,0.49999579764425717,17,1
1,3,2,3,1,1,0,0,0.0,0.5031239831446032,0.5093476303969228,0.9031239831446032,0.2,-10.993570937614985,1,0.5000042023557429,17,1
0,1,1,2,1,1,0,1,2.0,0.9,0.08756469982284038,0.9,0.2,-10.993570937614985,1,0.08333426674097352,18,1
1,2,1,2,1,1,0,1,2.0,0.3666666666666667,0.37290854134141793,0.3666666666666667,0.2,-10.993570937614985,1,0.0833328668472997,18,1
2,3,1,2,1,1,0,1,0.0,0.5,0.5062418746747512,0.5,0.2,-10.993570937614985,1,0.08333286641174371,18,1
3,1,1,2,1,0,0,1,3.0,0.5,0.08756469982284038,0.5,0.2,-10.993570937614985,1,0.08333426674096789,18,1
4,2,1,2,1,0,0,1,0.0,0.9,0.5062418746747512,0.5,0.2,-10.993570937614985,1,0.08333286684729406,18,1
5,3,1,2,1,0,0,1,0.0,0.3666666666666667,0.9062418746747514,0.3666666666666667,0.2,-10.993570937614985,1,0.08333286641173808,18,1
6,1,1,2,1,1,0,0,3.0,0.5,0.08756469982284038,0.5,0.2,-10.993570937614985,1,0.08333426674096789,18,1
7,2,1,2,1,1,0,0,0.0,0.5,0.5062418746747512,0.9,0.2,-10.993570937614985,1,0.08333286684729406,18,1
8,3,1,2,1,1,0,0,0.0,0.3666666666666667,0.9062418746747514,0.3666666666666667,0.2,-10.993570937614985,1,0.08333286641173808,18,1
9,1,1,2,1,0,0,0,0.0,0.9,0.08756469982284038,0.9,0.2,-10.993570937614985,1,0.08333426674096225,18,1
10,2,1,2,1,0,0,0,0.0,0.5,0.9062418746747513,0.5,0.2,-10.993570937614985,1,0.08333286684728843,18,1
11,3,1,2,1,0,0,0,0.0,0.5,0.5062418746747512,0.5,0.2,-10.993570937614985,1,0.08333286641173245,18,1
0,3,1,1,3,1,1,1,0.0,0.5062418746747512,0.5062418746747512,0.08756469982284039,0.2,-10.993570937614985,1,0.11111170340664824,19,1
1,3,2,1,3,1,1,1,0.0,0.5031239831446032,0.4968760168553969,0.8906523696030773,0.2,-10.993570937614985,1,0.11111167678996384,19,1
2,3,3,1,3,1,1,1,0.0,0.4968760168553969,0.5093476303969229,0.4968760168553969,0.2,-10.993570937614985,1,0.11111084157884296,19,1
3,3,1,2,3,1,1,1,0.0,0.4968760168553969,0.5031239831446032,0.8906523696030773,0.2,-10.993570937614985,1,0.11111167678996384,19,1
4,3,2,2,3,1,1,1,0.0,0.5031239831446032,0.5031239831446032,0.08450092696283765,0.2,-10.993570937614985,1,0.11111165017328582,19,1
5,3,3,2,3,1,1,1,0.0,0.49375812532524876,0.518533319990814,0.49375812532524876,0.2,-10.993570937614985,1,0.11111081496236502,19,1
6,3,1,3,3,1,1,1,0.0,0.5093476303969229,0.4968760168553969,0.4968760168553969,0.2,-10.993570937614985,1,0.11111084157884296,19,1
7,3,2,3,3,1,1,1,0.0,0.518533319990814,0.49375812532524876,0.49375812532524876,0.2,-10.993570937614985,1,0.11111081496236502,19,1
8,3,3,3,3,1,1,1,0.0,0.5093476303969228,0.5093476303969228,0.5093476303969228,0.2,-10.993570937614985,1,0.1111099797577224,19,1
0,3,1,1,1,0,1,0,0.0,0.1,0.1,0.1,0.2,-10.993570937614985,1,0.16666433202982042,20,1
1,3,1,2,1,0,1,0,0.0,0.9,0.09375812532524874,0.9,0.2,-10.993570937614985,1,0.1666643320567112,20,1
2,3,1,3,1,0,1,0,2.0,0.09375812532524874,0.08756469982284039,0.09375812532524874,0.2,-10.993570937614985,1,0.16666713355772597,20,1
3,3,1,1,1,0,0,0,0.0,0.1,0.1,0.1,0.2,-10.993570937614985,1,0.16666713358461774,20,1
4,3,1,2,1,0,0,0,0.0,0.5,0.5062418746747512,0.5,0.2,-10.993570937614985,1,0.16666713361150898,20,1
5,3,1,3,1,0,0,0,0.0,0.09375812532524874,0.9124353001771597,0.09375812532524874,0.2,-10.993570937614985,1,0.16666993515961576,20,1
0,3,2,1,1,0,0,0,0.0,0.5062418746747512,0.5,0.5,0.2,-10.993570937614985,1,0.3333315564706452,21,1
1,3,2,1,2,0,0,0,0.0,0.5031239831446032,0.5093476303969228,0.5031239831446032,0.2,-10.993570937614985,1,0.3333315481071296,21,1
2,3,2,1,3,0,0,0,0.0,0.4968760168553969,0.5031239831446032,0.9093476303969228,0.2,-10.993570937614985,1,0.33333689542222517,21,1
0,3,1,1,2,1,1,0,0.0,0.5,0.5,0.5062418746747512,0.2,-10.993570937614985,1,0.25,22,1
1,3,1,1,2,0,1,0,0.0,0.3666666666666667,0.3666666666666667,0.9062418746747514,0.2,-10.993570937614985,1,0.25,22,1
2,3,1,1,2,1,0,0,0.0,0.3666666666666667,0.3666666666666667,0.9062418746747514,0.2,-10.993570937614985,1,0.25,22,1
3,3,1,1,2,0,0,0,0.0,0.5,0.5,0.5062418746747512,0.2,-10.993570937614985,1,0.25,22,1
0,1,1,2,2,1,1,1,0.0,0.09687601685539689,0.5093476303969229,0.5093476303969229,0.2,-10.993570937614985,1,0.3333369896041036,23,1
1,2,1,2,2,1,1,1,0.0,0.5093476303969229,0.4968760168553969,0.4968760168553969,0.2,-10.993570937614985,1,0.3333315447802689,23,1
2,3,1,2,2,1,1,1,0.0,0.09065236960307724,0.896876016855397,0.896876016855397,0.2,-10.993570937614985,1,0.3333314656156275,23,1
0,1,2,1,2,1,1,1,0.0,0.5093476303969229,0.09687601685539689,0.5093476303969229,0.2,-10.993570937614985,1,0.33333146726637247,24,1
1,2,2,1,2,1,1,1,0.0,0.4968760168553969,0.5093476303969229,0.4968760168553969,0.2,-10.993570937614985,1,0.3333370671191807,24,1
2,3,2,1,2,1,1,1,0.0,0.896876016855397,0.09065236960307724,0.896876016855397,0.2,-10.993570937614985,1,0.3333314656144467,24,1
0,1,2,2,1,1,1,1,0.0,0.5093476303969229,0.5093476303969229,0.09687601685539689,0.2,-10.993570937614985,1,0.3333314688924166,25,1
1,2,2,2,1,1,1,1,0.0,0.4968760168553969,0.4968760168553969,0.5093476303969229,0.2,-10.993570937614985,1,0.33333146563668414,25,1
2,3,2,2,1,1,1,1,0.0,0.896876016855397,0.896876016855397,0.09065236960307724,0.2,-10.993570937614985,1,0.3333370654708992,25,1
0,1,2,3,1,1,1,1,0.0,0.5062418746747512,0.518533319990814,0.09375812532524874,0.2,-10.993570937614985,1,0.5000042023556275,26,1
1,1,2,3,1,1,0,1,3.0,0.9062418746747513,0.08146668000918605,0.09375812532524874,0.2,-10.993570937614985,1,0.49999579764437263,26,1
0,1,2,1,1,1,0,0,2.0,0.5124353001771597,0.5,0.5,0.2,-10.993570937614985,1,0.5000042023557429,27,1
1,1,2,1,1,0,0,0,0.0,0.08756469982284038,0.9,0.9,0.2,-10.993570937614985,1,0.49999579764425717,27,1
0,1,1,2,1,0,1,0,2.0,0.5,0.5124353001771597,0.5,0.2,-10.993570937614985,1,0.5000042022895216,28,1
1,1,1,2,1,0,0,0,0.0,0.9,0.08756469982284038,0.9,0.2,-10.993570937614985,1,0.4999957977104783,28,1
0,3,1,2,3,0,1,1,1.0,0.5031239831446032,0.9031239831446032,0.49065236960307723,0.2,-10.993570937614985,1,0.2499999999880308,29,1
1,3,1,2,3,0,0,1,3.0,0.3697906498112698,0.36354268352206354,0.35731903626974393,0.2,-10.993570937614985,1,0.24999579770786623,29,1
2,3,1,2,3,0,1,0,0.0,0.9031239831446032,0.5031239831446032,0.5093476303969228,0.2,-10.993570937614985,1,0.2500042023274527,29,1
3,3,1,2,3,0,0,0,0.0,0.5031239831446032,0.4968760168553969,0.9093476303969228,0.2,-10.993570937614985,1,0.24999999997665048,29,1
0,3,3,1,2,1,0,1,1.0,0.49065236960307723,0.5031239831446032,0.9031239831446032,0.2,-10.993570937614985,1,0.24999579773283742,30,1
1,3,3,1,2,0,0,1,0.0,0.5093476303969228,0.9031239831446032,0.5031239831446032,0.2,-10.993570937614985,1,0.25000000001545924,30,1
2,3,3,1,2,1,0,0,3.0,0.35731903626974393,0.3697906498112698,0.36354268352206354,0.2,-10.993570937614985,1,0.24999999994922242,30,1
3,3,3,1,2,0,0,0,0.0,0.9093476303969228,0.5031239831446032,0.4968760168553969,0.2,-10.993570937614985,1,0.25000420230248105,30,1
0,2,1,1,2,1,1,0,2.0,0.3666666666666667,0.3666666666666667,0.37290854134141793,0.2,-10.993570937614985,1,0.24999999996222577,31,1
1,2,1,1,2,0,1,0,0.0,0.9,0.5,0.5062418746747512,0.2,-10.993570937614985,1,0.2500042023016472,31,1
2,2,1,1,2,1,0,0,0.0,0.5,0.9,0.5062418746747512,0.2,-10.993570937614985,1,0.24999579773367123,31,1
3,2,1,1,2,0,0,0,0.0,0.5,0.5,0.9062418746747513,0.2,-10.993570937614985,1,0.2500000000024559,31,1
0,2,2,1,1,0,1,1,2.0,0.37290854134141793,0.3666666666666667,0.3666666666666667,0.2,-10.993570937614985,1,0.24999579772820116,32,1
1,2,2,1,1,0,0,1,0.0,0.5062418746747512,0.9,0.5,0.2,-10.993570937614985,1,0.2499999999823407,32,1
2,2,2,1,1,0,1,0,0.0,0.5062418746747512,0.5,0.9,0.2,-10.993570937614985,1,0.2499999999823407,32,1
3,2,2,1,1,0,0,0,0.0,0.9062418746747513,0.5,0.5,0.2,-10.993570937614985,1,0.25000420230711723,32,1
0,3,1,3,1,1,0,0,0.0,0.5062418746747512,0.5124353001771597,0.09375812532524874,0.2,-10.993570937614985,1,0.3333369704375943,33,1
1,3,1,3,2,1,0,0,0.0,0.4968760168553969,0.5093476303969228,0.8968760168553969,0.2,-10.993570937614985,1,0.3333314656149789,33,1
2,3,1,3,3,1,0,0,0.0,0.5093476303969229,0.5031239831446032,0.5031239831446032,0.2,-10.993570937614985,1,0.33333156394742686,33,1
0,3,1,1,3,1,0,0,0.0,0.5062418746747512,0.09375812532524874,0.5124353001771597,0.2,-10.993570937614985,1,0.33333146561502636,34,1
1,3,1,2,3,1,0,0,0.0,0.4968760168553969,0.8968760168553969,0.5093476303969228,0.2,-10.993570937614985,1,0.3333369616179939,34,1
2,3,1,3,3,1,0,0,0.0,0.5093476303969229,0.5031239831446032,0.5031239831446032,0.2,-10.993570937614985,1,0.3333315727669798,34,1
0,3,3,1,1,0,1,0,0.0,0.5124353001771597,0.5062418746747512,0.09375812532524874,0.2,-10.993570937614985,1,0.3333314670686913,35,1
1,3,3,1,2,0,1,0,0.0,0.5093476303969228,0.4968760168553969,0.8968760168553969,0.2,-10.993570937614985,1,0.3333314677429131,35,1
2,3,3,1,3,0,1,0,0.0,0.5031239831446032,0.5093476303969229,0.5031239831446032,0.2,-10.993570937614985,1,0.33333706518839556,35,1
0,3,3,3,1,1,1,0,1.0,0.896876016855397,0.896876016855397,0.09065236960307722,0.2,-10.993570937614985,1,0.5000042023557429,36,1
1,3,3,3,1,0,1,0,4.0,0.5031239831446032,0.4968760168553969,0.09065236960307722,0.2,-10.993570937614985,1,0.49999579764425717,36,1
