,trees,strength_a,strength_b,strength_c,action_a,action_b,action_c,reward,blame_a,blame_b,blame_c,w,beta,k,post,trial,participant
0,1,1,1,3,0,0,0,0.0,0.9031239831446032,0.9031239831446032,0.07846736603342166,0.2,-10.993570937614985,1,0.3333370656138667,1,1
1,2,1,1,3,0,0,0,0.0,0.5031239831446032,0.5031239831446032,0.10312398314460312,0.2,-10.993570937614985,1,0.33333146877167835,1,1
2,3,1,1,3,0,0,0,0.0,0.09375812532524874,0.09375812532524874,0.9124353001771597,0.2,-10.993570937614985,1,0.333331465614455,1,1
0,1,3,1,1,0,0,0,0.0,0.07846736603342166,0.9031239831446032,0.9031239831446032,0.2,-10.993570937614985,1,0.33333146561481247,2,1
1,2,3,1,1,0,0,0,0.0,0.10312398314460312,0.5031239831446032,0.5031239831446032,0.2,-10.993570937614985,1,0.33333706877075026,2,1
2,3,3,1,1,0,0,0,0.0,0.9124353001771597,0.09375812532524874,0.09375812532524874,0.2,-10.993570937614985,1,0.33333146561443733,2,1
0,1,1,3,1,0,0,0,0.0,0.9031239831446032,0.07846736603342166,0.9031239831446032,0.2,-10.993570937614985,1,0.33333146561443733,3,1
1,2,1,3,1,0,0,0,0.0,0.5031239831446032,0.10312398314460312,0.5031239831446032,0.2,-10.993570937614985,1,0.33333146561443733,3,1
2,3,1,3,1,0,0,0,0.0,0.09375812532524874,0.9124353001771597,0.09375812532524874,0.2,-10.993570937614985,1,0.33333706877112546,3,1
0,1,1,1,3,1,1,1,0.0,0.4968760168553969,0.4968760168553969,0.5215326339665783,0.2,-10.993570937614985,1,0.3333370687562895,4,1
1,2,1,1,3,1,1,1,0.0,0.09687601685539689,0.09687601685539689,0.896876016855397,0.2,-10.993570937614985,1,0.33333146562927046,4,1
2,3,1,1,3,1,1,1,0.0,0.5062418746747512,0.5062418746747512,0.08756469982284039,0.2,-10.993570937614985,1,0.3333314656144399,4,1
0,1,3,1,1,1,1,1,0.0,0.5215326339665783,0.4968760168553969,0.4968760168553969,0.2,-10.993570937614985,1,0.3333314656943382,5,1
1,2,3,1,1,1,1,1,0.0,0.896876016855397,0.09687601685539689,0.09687601685539689,0.2,-10.993570937614985,1,0.33333706869122404,5,1
2,3,3,1,1,1,1,1,0.0,0.08756469982284039,0.5062418746747512,0.5062418746747512,0.2,-10.993570937614985,1,0.3333314656144377,5,1
0,1,1,3,1,1,1,1,0.0,0.4968760168553969,0.5215326339665783,0.4968760168553969,0.2,-10.993570937614985,1,0.33333149969995407,6,1
1,2,1,3,1,1,1,1,0.0,0.09687601685539689,0.896876016855397,0.09687601685539689,0.2,-10.993570937614985,1,0.33333146561462706,6,1
2,3,1,3,1,1,1,1,0.0,0.5062418746747512,0.08756469982284039,0.5062418746747512,0.2,-10.993570937614985,1,0.33333703468541875,6,1
0,2,1,2,3,1,1,0,3.0,0.9093476303969228,0.09065236960307721,0.09687601685539687,0.2,-10.993570937614985,1,0.3333343186640981,7,1
1,2,2,2,3,1,1,0,3.0,0.9031239831446032,0.9031239831446032,0.08450092696283766,0.2,-10.993570937614985,1,0.3333314656222835,7,1
2,2,3,2,3,1,1,0,3.0,0.9124353001771597,0.1,0.08756469982284038,0.2,-10.993570937614985,1,0.3333342157136184,7,1
